"Name","exp_name","_wandb","charts/total_parameters"
"exp_name: ppo_gridnet_diverse_encode_decode","ppo_gridnet_diverse_encode_decode","","838191"
"exp_name: ppo_gridnet_diverse","ppo_gridnet_diverse","","5433185"
"exp_name: ppo_gridnet_diverse_impala","ppo_gridnet_diverse_impala","","5266113"
"exp_name: ppo_gridnet_coacai","ppo_gridnet_coacai","","5433185"
"exp_name: ppo_gridnet_selfplay_diverse_encode_decode","ppo_gridnet_selfplay_diverse_encode_decode","","838191"
"exp_name: ppo_gridnet_selfplay_encode_decode","ppo_gridnet_selfplay_encode_decode","","838191"
"exp_name: ppo_gridnet_coacai_naive","ppo_gridnet_coacai_naive","","5433185"
"exp_name: ppo_gridnet_coacai_partial_mask","ppo_gridnet_coacai_partial_mask","","5433185"
"exp_name: ppo_gridnet_coacai_no_mask","ppo_gridnet_coacai_no_mask","","5433185"
