"Name","exp_name","_wandb","charts/cumulative_match_results/win rate"
"exp_name: ppo_gridnet_diverse_encode_decode","ppo_gridnet_diverse_encode_decode","","0.8884615302085876"
"exp_name: ppo_gridnet_diverse","ppo_gridnet_diverse","","0.868461549282074"
"exp_name: ppo_gridnet_diverse_impala","ppo_gridnet_diverse_impala","","0.8353846073150635"
"exp_name: ppo_gridnet_coacai","ppo_gridnet_coacai","","0.7276923060417175"
"exp_name: ppo_gridnet_selfplay_diverse_encode_decode","ppo_gridnet_selfplay_diverse_encode_decode","","0.7192307710647583"
"exp_name: ppo_gridnet_selfplay_encode_decode","ppo_gridnet_selfplay_encode_decode","","0.7099999785423279"
"exp_name: ppo_gridnet_coacai_naive","ppo_gridnet_coacai_naive","","0.10769230872392654"
"exp_name: ppo_gridnet_coacai_partial_mask","ppo_gridnet_coacai_partial_mask","","0"
"exp_name: ppo_gridnet_coacai_no_mask","ppo_gridnet_coacai_no_mask","","0"
